time	neuronID	deltaRR	tissue	trialN	stim
16	7	0.00667693888032874	antenna	9	heat
17	7	-0.00188323917137475	antenna	9	heat
18	7	0.00667693888032874	antenna	9	heat
19	7	0.0135250813216915	antenna	9	heat
20	7	-0.0618044855332989	antenna	9	heat
21	7	-0.0395480225988699	antenna	9	heat
22	7	-0.0378359869885292	antenna	9	heat
23	7	-0.0224276664954631	antenna	9	heat
24	7	-0.00530731039205614	antenna	9	heat
25	7	-1.71203561034051e-4	antenna	9	heat
26	7	0.0083889744906694309	antenna	9	heat
27	7	0.0152371169320322	antenna	9	heat
28	7	0.0203732237630543	antenna	9	heat
29	7	0.0237972949837357	antenna	9	heat
30	7	0.0289334018147578	antenna	9	heat
31	7	0.0357815442561206	antenna	9	heat
32	7	0.0323574730354392	antenna	9	heat
33	7	0.0374935798664613	antenna	9	heat
34	7	0.0426296866974834	antenna	9	heat
35	7	0.0357815442561206	antenna	9	heat
36	7	0.0340695086457799	antenna	9	heat
37	7	0.0340695086457799	antenna	9	heat
38	7	0.0340695086457799	antenna	9	heat
39	7	0.0306454374250985	antenna	9	heat
40	7	0.0272213662044171	antenna	9	heat
0	8	0.00488315312173008	antenna	9	heat
1	8	0.00488315312173008	antenna	9	heat
2	8	0.00749912800837117	antenna	9	heat
3	8	0.00488315312173008	antenna	9	heat
4	8	0.00488315312173008	antenna	9	heat
5	8	0.00837111963725153	antenna	9	heat
6	8	0.0066271363794908	antenna	9	heat
7	8	0.00749912800837117	antenna	9	heat
8	8	0.0092431112661318909	antenna	9	heat
9	8	0.00837111963725153	antenna	9	heat
10	8	0.0092431112661318909	antenna	9	heat
11	8	0.0109870945238926	antenna	9	heat
12	8	0.0388908266480643	antenna	9	heat
13	8	0.0476107429368679	antenna	9	heat
14	8	0.0545866759679108	antenna	9	heat
15	8	0.0545866759679108	antenna	9	heat
16	8	0.0467387513079875	antenna	9	heat
17	8	0.0458667596791072	antenna	9	heat
18	8	0.0415068015347054	antenna	9	heat
19	8	0.0388908266480643	antenna	9	heat
20	8	-0.00470875479595393	antenna	9	heat
21	8	-0.0125566794558771	antenna	9	heat
22	8	-0.0177886292291593	antenna	9	heat
23	8	-0.0221485873735611	antenna	9	heat
24	8	-0.0221485873735611	antenna	9	heat
25	8	-0.0151726543425182	antenna	9	heat
26	8	-0.0151726543425182	antenna	9	heat
27	8	-0.0151726543425182	antenna	9	heat
28	8	-0.00994070456923601	antenna	9	heat
29	8	-0.00819672131147538	antenna	9	heat
30	8	-0.0108126961981164	antenna	9	heat
31	8	-0.00558074642483429	antenna	9	heat
32	8	-0.00122078828043247	antenna	9	heat
33	8	0.00401116149284971	antenna	9	heat
34	8	0.00749912800837117	antenna	9	heat
35	8	0.0066271363794908	antenna	9	heat
36	8	0.0092431112661318909	antenna	9	heat
37	8	0.0136030694105337	antenna	9	heat
38	8	0.0144750610394141	antenna	9	heat
39	8	0.0197070108126963	antenna	9	heat
40	8	0.0170910359260552	antenna	9	heat
0	9	0.00218738607364196	antenna	9	heat
1	9	0.00127597520962446	antenna	9	heat
2	9	0.00218738607364196	antenna	9	heat
3	9	0.00127597520962446	antenna	9	heat
4	9	0.00218738607364196	antenna	9	heat
