genotype	batch	sampleID	tissue	sampleType	cell	peakresp	auc
ht	3	ht3	fl	fll	17	0.18115406620705993	7.861568613846254
ht	3	ht3	fl	fll	18	0.55965020115035	23.053388730753102
ht	3	ht3	fl	fll	19	0.3236416697831596	14.727040302787602
ht	3	ht3	fl	fll	20	0.10565163331868596	3.9532985909049296
ht	3	ht3	fl	fll	21	0.41425291467145425	21.964797291497632
ht	3	ht3	fl	fll	22	0.0858161881912587	3.551199515708762
ht	3	ht3	fl	fll	23	0.0654937422373627	2.1380519957364745
ht	3	ht3	fl	fll	24	0.11290382030343743	2.1867529726362878
ht	3	ht3	ml	mll	1	0.44664897082565064	19.87172774816921
ht	3	ht3	ml	mll	2	0.6618911979838391	28.554619970357134
ht	3	ht3	ml	mll	3	0.5710647747822066	36.24636073261228
ht	3	ht3	ml	mll	4	0.3833558818167366	23.306031717060904
ht	3	ht3	ml	mll	5	0.5528325135808196	29.60106755183697
ht	3	ht3	ml	mll	6	0.20398635126964304	10.105092996512596
ht	3	ht3	ml	mll	7	1.0261830984210207	70.22870401201226
ht	3	ht3	ml	mll	8	0.22579547525231528	10.792687573680706
ht	3	ht3	ml	mll	9	0.05975089289716406	1.2085168378651872
ht	3	ht3	ml	mll	10	0.06553317178255182	-0.20881112604287483
ht	3	ht3	ml	mll	11	0.3001300198439899	13.728983206193936
ht	3	ht3	ml	mll	12	0.38038820371843113	22.040394855308026
ht	3	ht3	ml	mll	13	0.16608970330046122	11.085328754140033
ht	3	ht3	ml	mll	14	0.03006666554836706	-2.6173496664183626
ht	3	ht3	ml	mll	15	0.043229619387774774	-1.9130952908651344
ht	3	ht3	ml	mll	16	0.765235209462335	43.212979945081294
ht	3	ht3	ml	mll	17	0.5830132986544994	26.735078427393407
ht	3	ht3	ml	mll	18	0.6065072376104678	38.08400047997402
ht	3	ht3	ml	mll	19	0.042290948096890574	-1.3631298931490894
ht	3	ht3	ml	mll	20	0.07670392982595556	0.958463480775987
ht	3	ht4	fl	fll	1	0.32727674418865044	19.24512827049517
ht	3	ht4	fl	fll	2	0.27326246124308656	18.456827395402282
ht	3	ht4	fl	fll	3	0.22043218099788459	13.993317884315953
ht	3	ht4	fl	fll	4	0.16252601236143782	9.618764502231876
ht	3	ht4	fl	fll	5	0.16725119756970208	10.932815990621938
ht	3	ht4	fl	fll	6	0.21159129891157152	8.59901645125063
ht	3	ht4	fl	fll	7	0.2522744515920042	17.404983361268787
ht	3	ht4	fl	fll	8	0.15046435979074127	9.22019498272357
ht	3	ht4	fl	fll	9	0.2647596123334064	18.97254252596769
ht	3	ht4	fl	fll	10	0.13093472250612476	8.151502674788011
ht	3	ht4	fl	fll	11	0.1741378923739103	10.798568627147594
ht	3	ht4	fl	fll	12	0.11085168440985249	6.451985893592133
ht	3	ht4	fl	fll	13	0.0951672447221875	4.7809874806332795
ht	3	ht4	fl	fll	14	0.17735214901461607	12.471126027196458
ht	3	ht4	fl	fll	15	0.11490442958130508	6.72479436663401
ht	3	ht4	fl	fll	16	0.4567609451714097	21.404468679726396
ht	3	ht4	fl	fll	17	0.045893119437491255	-0.1153301125564232
ht	3	ht4	fl	fll	18	0.1798270676696348	11.478181264251283
ht	3	ht4	fl	fll	19	-0.04774345646231497	-7.24300374153713
ht	3	ht4	fl	fll	20	-0.0036379670572798594	-3.9499900186462082
ht	3	ht4	fl	fll	21	0.052370092822119206	0.3279932207091293
ht	3	ht4	fl	fll	22	0.07348175428257286	2.8373445154745505
ht	3	ht4	fl	fll	23	-0.018050584267119387	-6.676341170268146
ht	3	ht4	fl	fll	24	0.11243393102502086	5.243825098935901
ht	3	ht4	fl	fll	25	-0.06353329753824595	-10.780021854228304
ht	3	ht4	fl	fll	26	0.13990789807654969	9.351542246268096
ht	3	ht4	fl	fll	27	0.12727270913047406	7.747252578261244
ht	3	ht4	fl	fll	28	0.12331439938395979	7.679073551824715
ht	3	ht4	fl	fll	29	0.15163978381302592	10.352514683432457
ht	3	ht4	fl	fll	30	-0.13970753210185732	-22.067008709880895
ht	3	ht4	fl	fll	31	0.21368725749076442	11.799432731101094
ht	3	ht4	fl	fll	32	0.16512086543987245	9.818495303274533
ht	3	ht4	fl	fll	33	0.17970979403935472	11.052620050896724
ht	3	ht4	ml	mll	1	0.4749658750432954	27.639644030917335
ht	3	ht4	ml	mll	2	-0.04334052266964182	-12.909604832273269
ht	3	ht4	ml	mll	3	0.4428482818328696	24.529723249743718
ht	3	ht4	ml	mll	4	0.11965719457349425	3.965120822366777
ht	3	ht4	ml	mll	5	0.08800711138019036	4.9854617264127725
ht	3	ht4	ml	mll	6	0.13442014265042784	5.56222154100058
ht	3	ht4	ml	mll	7	0.0882362063663798	4.239387785661615
ht	3	ht4	ml	mll	8	0.00832559842917522	-4.204934770969611
ht	3	ht4	ml	mll	9	-0.07975228630015253	-12.763845232834935
ht	3	ht4	ml	mll	10	-0.05005839080143519	-8.251225502041255
ht	3	ht4	ml	mll	11	0.18248342637590054	6.058072505069174
ht	3	ht4	ml	mll	12	0.04597522385872454	0.9171068937273799
ht	3	ht4	ml	mll	13	0.197904574885776	13.823194720776925
ht	3	ht4	ml	mll	14	0.10792764762797301	6.149457720844506
ko	1	ko1	fl	flr	1	1.408833410656007	94.47867249288315
ko	1	ko1	fl	flr	2	0.7314972356387358	53.074128237300236
ko	1	ko1	fl	flr	3	1.3923227584107243	101.81735464848539
ko	1	ko1	fl	flr	4	1.3263887329152024	103.08017686599639
ko	1	ko1	fl	flr	5	1.07067760598831	54.35726930488615
ko	1	ko1	fl	flr	6	0.9553359920644556	33.98789952247096
ko	1	ko1	fl	flr	7	1.3898254250935622	82.72205475285678
ko	1	ko1	fl	flr	8	1.6915914554237033	117.88729825050015
ko	1	ko1	fl	flr	9	1.4812316988645708	92.11865488842886
ko	1	ko1	fl	flr	10	1.5855257768584583	111.81735064387198
ko	1	ko1	fl	flr	11	1.2750015718125576	79.17259607529978
ko	1	ko1	fl	flr	12	0.8044883244300536	45.06189118776052
ko	1	ko1	fl	flr	13	1.2649248949419374	76.35826350047371
ko	1	ko1	fl	flr	14	1.4540098495624292	95.7910626589412
ko	1	ko1	fl	flr	15	1.0612007422581993	71.45460484176927
ko	1	ko1	fl	flr	16	0.14638291518055924	7.149494339132316
ko	1	ko1	fl	flr	17	0.5016841632829623	30.5923809202816
ko	1	ko1	fl	flr	18	0.7301783730851445	50.94096342831508
ko	1	ko1	ml	mll	1	0.8179473377330344	47.29981600778666
ko	1	ko1	ml	mll	2	0.6993512704946542	42.5317888817179
ko	1	ko1	ml	mll	3	0.9592027527949536	59.5189704611715
ko	1	ko1	ml	mll	4	0.7745868399592072	49.82682448373122
ko	1	ko1	ml	mll	5	0.8320908854293741	43.30116864611797
ko	1	ko1	ml	mll	6	1.0759885866731165	51.1760257195535
ko	1	ko1	ml	mll	7	0.9263091573906406	45.442274433281014
ko	1	ko1	ml	mll	8	0.9245179342460942	47.505222993801254
ko	1	ko1	ml	mll	9	0.44553697206438664	28.45126298950392
ko	1	ko1	ml	mll	10	0.324011656122167	17.781066087011126
ko	1	ko1	ml	mll	11	0.2722794106542446	16.37891212192154
ko	1	ko1	ml	mll	12	0.11497229403951838	5.619038520208477
