pelt_temp_step	heatseek	group
40	28.92307692	ir76b_32_het
45	23.58241758	ir76b_32_het
50	13.71428571	ir76b_32_het
55	5.956043956	ir76b_32_het
60	4.043956044	ir76b_32_het
26	0	ir76b_32_het
28.5	5.962122983	ir76b_32_het
31	7.622165069	ir76b_32_het
33.5	16.50689736	ir76b_32_het
36	23.40425532	ir76b_32_het
38.5	27.07505261	ir76b_32_het
40	27.14519523	ir76b_32_het
45	30.16132803	ir76b_32_het
50	25.1578209	ir76b_32_het
55	16.15618424	ir76b_32_het
60	6.079027356	ir76b_32_het
26	1.345593182	ir76b_6132_ko
28.5	18.4794797	ir76b_6132_ko
31	17.35815205	ir76b_6132_ko
33.5	22.74052478	ir76b_6132_ko
36	27.40524781	ir76b_6132_ko
38.5	18.77102489	ir76b_6132_ko
40	18.0982283	ir76b_6132_ko
45	6.167302086	ir76b_6132_ko
50	2.018389773	ir76b_6132_ko
55	0.941915228	ir76b_6132_ko
60	0.067279659	ir76b_6132_ko
26	0.021978022	ir76b_6132_ko
28.5	15.05494505	ir76b_6132_ko
31	25.20879121	ir76b_6132_ko
33.5	25.07692308	ir76b_6132_ko
36	26.85714286	ir76b_6132_ko
38.5	35.0989011	ir76b_6132_ko
40	27.01098901	ir76b_6132_ko
45	14.54945055	ir76b_6132_ko
50	3.582417582	ir76b_6132_ko
55	1.89010989	ir76b_6132_ko
60	0.989010989	ir76b_6132_ko
26	0	ir76b_6132_ko
28.5	4.615384615	ir76b_6132_ko
31	15.89010989	ir76b_6132_ko
33.5	22.24175824	ir76b_6132_ko
36	30.15384615	ir76b_6132_ko
38.5	22.54945055	ir76b_6132_ko
40	26.57142857	ir76b_6132_ko
45	13.38461538	ir76b_6132_ko
50	7.120879121	ir76b_6132_ko
55	1.714285714	ir76b_6132_ko
60	0.373626374	ir76b_6132_ko
26	2.131868132	ir76b_6132_ko
28.5	18.28571429	ir76b_6132_ko
31	22.30769231	ir76b_6132_ko
33.5	26.98901099	ir76b_6132_ko
36	34.57142857	ir76b_6132_ko
38.5	32.52747253	ir76b_6132_ko
40	26.68131868	ir76b_6132_ko
45	13.27472527	ir76b_6132_ko
50	5.428571429	ir76b_6132_ko
55	1.978021978	ir76b_6132_ko
60	2.175824176	ir76b_6132_ko
26	0.046761749	ir76b_6132_ko
28.5	4.909983633	ir76b_6132_ko
31	14.89361702	ir76b_6132_ko
33.5	12.5321487	ir76b_6132_ko
36	21.46364274	ir76b_6132_ko
38.5	18.09679682	ir76b_6132_ko
40	16.29646949	ir76b_6132_ko
45	9.071779285	ir76b_6132_ko
50	3.951367781	ir76b_6132_ko
55	1.169043722	ir76b_6132_ko
60	0.63128361	ir76b_6132_ko
26	0.045787546	ir76b_6132_ko
28.5	2.861721612	ir76b_6132_ko
31	5.631868132	ir76b_6132_ko
33.5	5.769230769	ir76b_6132_ko
36	9.317765568	ir76b_6132_ko
38.5	6.433150183	ir76b_6132_ko
40	4.441391941	ir76b_6132_ko
45	2.037545788	ir76b_6132_ko
50	2.014652015	ir76b_6132_ko
55	1.259157509	ir76b_6132_ko
60	0.16025641	ir76b_6132_ko
26	1.73992674	ir76b_6132_ko
28.5	8.173076923	ir76b_6132_ko
31	13.43864469	ir76b_6132_ko
33.5	12.01923077	ir76b_6132_ko
36	13.98809524	ir76b_6132_ko
38.5	13.55311355	ir76b_6132_ko
40	15.72802198	ir76b_6132_ko
45	5.21978022	ir76b_6132_ko
50	3.960622711	ir76b_6132_ko
55	0.801282051	ir76b_6132_ko
60	0.228937729	ir76b_6132_ko
26	0.70970696	ir76b_6132_ko
28.5	16.41483516	ir76b_6132_ko
31	19.48260073	ir76b_6132_ko
33.5	15.61355311	ir76b_6132_ko
36	14.9496337	ir76b_6132_ko
38.5	21.79487179	ir76b_6132_ko
40	17.07875458	ir76b_6132_ko
45	10.07326007	ir76b_6132_ko
50	4.441391941	ir76b_6132_ko
55	1.694139194	ir76b_6132_ko
60	0.457875458	ir76b_6132_ko
26	0.263736264	ir76b_6132_ko
28.5	14.26373626	ir76b_6132_ko
31	21.38461538	ir76b_6132_ko
33.5	30.83516484	ir76b_6132_ko
36	31.84615385	ir76b_6132_ko
38.5	32.43956044	ir76b_6132_ko
40	22.81318681	ir76b_6132_ko
45	12.59340659	ir76b_6132_ko
50	5.450549451	ir76b_6132_ko
55	2.131868132	ir76b_6132_ko
60	0.901098901	ir76b_6132_ko
26	0.313971743	ir76b_6132_ko
28.5	10.45077372	ir76b_6132_ko
31	16.19197129	ir76b_6132_ko
33.5	22.4938327	ir76b_6132_ko
