trialName	time	nFlying	pFlying	group	session
D	210	8	40	ir25a_19_het	5
D	240	5	25	ir25a_19_het	5
D	270	2	10	ir25a_19_het	5
D	300	6	30	ir25a_19_het	5
E	-60	1	5.26315789473684	lvp_wt	5
E	-30	3	15.7894736842105	lvp_wt	5
E	0	1	5.26315789473684	lvp_wt	5
E	30	10	52.6315789473684	lvp_wt	5
E	60	15	78.9473684210526	lvp_wt	5
E	90	11	57.8947368421053	lvp_wt	5
E	120	9	47.3684210526316	lvp_wt	5
E	150	8	42.1052631578947	lvp_wt	5
E	180	6	31.5789473684211	lvp_wt	5
E	210	6	31.5789473684211	lvp_wt	5
E	240	5	26.3157894736842	lvp_wt	5
E	270	5	26.3157894736842	lvp_wt	5
E	300	4	21.0526315789474	lvp_wt	5
F	-60	0	0	ir25a_19_het	5
F	-30	0	0	ir25a_19_het	5
F	0	0	0	ir25a_19_het	5
F	30	12	63.1578947368421	ir25a_19_het	5
F	60	11	57.8947368421053	ir25a_19_het	5
F	90	11	57.8947368421053	ir25a_19_het	5
F	120	6	31.5789473684211	ir25a_19_het	5
F	150	6	31.5789473684211	ir25a_19_het	5
F	180	4	21.0526315789474	ir25a_19_het	5
F	210	5	26.3157894736842	ir25a_19_het	5
F	240	5	26.3157894736842	ir25a_19_het	5
F	270	7	36.8421052631579	ir25a_19_het	5
F	300	5	26.3157894736842	ir25a_19_het	5
G	-60	0	0	lvp_wt	5
G	-30	0	0	lvp_wt	5
G	0	0	0	lvp_wt	5
G	30	11	61.11111111111111	lvp_wt	5
G	60	7	38.8888888888889	lvp_wt	5
G	90	7	38.8888888888889	lvp_wt	5
G	120	6	33.3333333333333	lvp_wt	5
G	150	9	50	lvp_wt	5
G	180	7	38.8888888888889	lvp_wt	5
G	210	7	38.8888888888889	lvp_wt	5
G	240	6	33.3333333333333	lvp_wt	5
G	270	8	44.4444444444444	lvp_wt	5
G	300	9	50	lvp_wt	5
H	-60	1	5	ir25a_BamHI19_ko	5
H	-30	1	5	ir25a_BamHI19_ko	5
H	0	1	5	ir25a_BamHI19_ko	5
H	30	8	40	ir25a_BamHI19_ko	5
H	60	8	40	ir25a_BamHI19_ko	5
H	90	5	25	ir25a_BamHI19_ko	5
H	120	5	25	ir25a_BamHI19_ko	5
H	150	6	30	ir25a_BamHI19_ko	5
H	180	4	20	ir25a_BamHI19_ko	5
H	210	5	25	ir25a_BamHI19_ko	5
H	240	5	25	ir25a_BamHI19_ko	5
H	270	6	30	ir25a_BamHI19_ko	5
H	300	7	35	ir25a_BamHI19_ko	5
