pelt_temp_step	heatseek	group
38.5	31.58241758	orco_516_ko
40	43.82417582	orco_516_ko
45	31.6043956	orco_516_ko
50	20.61538462	orco_516_ko
55	5.648351648	orco_516_ko
60	2.637362637	orco_516_ko
26	0	orco_516_ko
28.5	4.10989011	orco_516_ko
31	20.9010989	orco_516_ko
33.5	23.27472527	orco_516_ko
36	44.9010989	orco_516_ko
38.5	48.50549451	orco_516_ko
40	51.12087912	orco_516_ko
45	45.82417582	orco_516_ko
50	24.57142857	orco_516_ko
55	10.7032967	orco_516_ko
60	7.868131868	orco_516_ko
26	0.813186813	orco_516_ko
28.5	6.175824176	orco_516_ko
31	26.81318681	orco_516_ko
33.5	40.26373626	orco_516_ko
36	44.79120879	orco_516_ko
38.5	45.16483516	orco_516_ko
40	42.68131868	orco_516_ko
45	30.81318681	orco_516_ko
50	14.92307692	orco_516_ko
55	5.868131868	orco_516_ko
60	2.835164835	orco_516_ko
