trialName	time	nFlying	pFlying	group	session
H	30	14	70	orco_5_het	4
H	60	14	70	orco_5_het	4
H	90	11	55	orco_5_het	4
H	120	9	45	orco_5_het	4
H	150	10	50	orco_5_het	4
H	180	9	45	orco_5_het	4
H	210	5	25	orco_5_het	4
H	240	7	35	orco_5_het	4
H	270	7	35	orco_5_het	4
H	300	8	40	orco_5_het	4
A	-60	0	0	orco_516_ko	5
A	-30	0	0	orco_516_ko	5
A	0	0	0	orco_516_ko	5
A	30	14	70	orco_516_ko	5
A	60	16	80	orco_516_ko	5
A	90	10	50	orco_516_ko	5
A	120	13	65	orco_516_ko	5
A	150	11	55	orco_516_ko	5
A	180	9	45	orco_516_ko	5
A	210	12	60	orco_516_ko	5
A	240	5	25	orco_516_ko	5
A	270	7	35	orco_516_ko	5
A	300	9	45	orco_516_ko	5
B	-60	2	10	orco_5_het	5
B	-30	0	0	orco_5_het	5
B	0	0	0	orco_5_het	5
B	30	11	55	orco_5_het	5
B	60	11	55	orco_5_het	5
B	90	11	55	orco_5_het	5
B	120	10	50	orco_5_het	5
B	150	12	60	orco_5_het	5
B	180	11	55	orco_5_het	5
B	210	9	45	orco_5_het	5
B	240	8	40	orco_5_het	5
B	270	7	35	orco_5_het	5
B	300	3	15	orco_5_het	5
C	-60	2	10	orco_16_het	5
C	-30	0	0	orco_16_het	5
C	0	1	5	orco_16_het	5
C	30	16	80	orco_16_het	5
C	60	17	85	orco_16_het	5
C	90	13	65	orco_16_het	5
C	120	15	75	orco_16_het	5
C	150	13	65	orco_16_het	5
C	180	10	50	orco_16_het	5
C	210	8	40	orco_16_het	5
C	240	7	35	orco_16_het	5
C	270	2	10	orco_16_het	5
C	300	3	15	orco_16_het	5
D	-60	0	0	orco_5_het	5
D	-30	1	5	orco_5_het	5
D	0	0	0	orco_5_het	5
D	30	13	65	orco_5_het	5
D	60	17	85	orco_5_het	5
D	90	11	55	orco_5_het	5
D	120	15	75	orco_5_het	5
D	150	15	75	orco_5_het	5
D	180	12	60	orco_5_het	5
D	210	7	35	orco_5_het	5
D	240	8	40	orco_5_het	5
D	270	9	45	orco_5_het	5
D	300	7	35	orco_5_het	5
E	-60	0	0	orco_516_ko	5
E	-30	0	0	orco_516_ko	5
E	0	0	0	orco_516_ko	5
E	30	9	45	orco_516_ko	5
E	60	17	85	orco_516_ko	5
E	90	16	80	orco_516_ko	5
E	120	15	75	orco_516_ko	5
E	150	14	70	orco_516_ko	5
E	180	13	65	orco_516_ko	5
E	210	11	55	orco_516_ko	5
E	240	10	50	orco_516_ko	5
E	270	8	40	orco_516_ko	5
E	300	5	25	orco_516_ko	5
F	-60	1	5	orl_wt	5
F	-30	1	5	orl_wt	5
F	0	0	0	orl_wt	5
F	30	16	80	orl_wt	5
F	60	17	85	orl_wt	5
F	90	17	85	orl_wt	5
F	120	16	80	orl_wt	5
F	150	13	65	orl_wt	5
F	180	9	45	orl_wt	5
F	210	11	55	orl_wt	5
F	240	11	55	orl_wt	5
F	270	7	35	orl_wt	5
F	300	5	25	orl_wt	5
G	-60	0	0	orl_wt	5
G	-30	1	5.55555555555556	orl_wt	5
G	0	2	11.1111111111111	orl_wt	5
G	30	14	77.7777777777778	orl_wt	5
G	60	17	94.4444444444444	orl_wt	5
G	90	16	88.8888888888889	orl_wt	5
G	120	14	77.7777777777778	orl_wt	5
G	150	17	94.4444444444444	orl_wt	5
G	180	11	61.11111111111111	orl_wt	5
G	210	10	55.5555555555556	orl_wt	5
G	240	8	44.4444444444444	orl_wt	5
G	270	7	38.8888888888889	orl_wt	5
G	300	10	55.5555555555556	orl_wt	5
H	-60	0	0	orco_16_het	5
H	-30	0	0	orco_16_het	5
H	0	1	5	orco_16_het	5
H	30	18	90	orco_16_het	5
H	60	13	65	orco_16_het	5
H	90	12	60	orco_16_het	5
H	120	13	65	orco_16_het	5
H	150	14	70	orco_16_het	5
H	180	9	45	orco_16_het	5
H	210	10	50	orco_16_het	5
H	240	5	25	orco_16_het	5
H	270	3	15	orco_16_het	5
H	300	3	15	orco_16_het	5
