geneID	geneClass	geneType
AAEL015355	protein_coding_gene	protein_coding
AAEL028161	protein_coding_gene	protein_coding
AAEL020215	ncRNA_gene	lncRNA
AAEL010471	protein_coding_gene	protein_coding
AAEL010462	protein_coding_gene	protein_coding
AAEL022870	protein_coding_gene	protein_coding
AAEL021582	pseudogene	pseudogene
AAEL025806	protein_coding_gene	protein_coding
AAEL024359	protein_coding_gene	protein_coding
AAEL008422	protein_coding_gene	protein_coding
AAEL008428	protein_coding_gene	protein_coding
AAEL008427	protein_coding_gene	protein_coding
AAEL015151	protein_coding_gene	protein_coding
AAEL028724	ncRNA_gene	rRNA
AAEL028707	ncRNA_gene	rRNA
AAEL028790	ncRNA_gene	rRNA
AAEL028650	ncRNA_gene	rRNA
AAEL028762	ncRNA_gene	rRNA
AAEL028644	ncRNA_gene	rRNA
AAEL028980	ncRNA_gene	rRNA
AAEL028695	ncRNA_gene	rRNA
AAEL028803	ncRNA_gene	rRNA
AAEL028852	ncRNA_gene	rRNA
AAEL028665	ncRNA_gene	rRNA
AAEL028994	ncRNA_gene	rRNA
AAEL028853	ncRNA_gene	rRNA
AAEL028736	ncRNA_gene	rRNA
AAEL028906	ncRNA_gene	rRNA
AAEL028912	ncRNA_gene	rRNA
AAEL028925	ncRNA_gene	rRNA
AAEL028738	ncRNA_gene	rRNA
AAEL028907	ncRNA_gene	rRNA
AAEL028865	ncRNA_gene	rRNA
AAEL028769	ncRNA_gene	rRNA
AAEL028659	ncRNA_gene	rRNA
AAEL028985	ncRNA_gene	rRNA
AAEL028663	ncRNA_gene	rRNA
AAEL028856	ncRNA_gene	rRNA
AAEL028689	ncRNA_gene	rRNA
AAEL028658	ncRNA_gene	rRNA
AAEL028952	ncRNA_gene	rRNA
AAEL028798	ncRNA_gene	rRNA
AAEL028813	ncRNA_gene	rRNA
AAEL028742	ncRNA_gene	rRNA
AAEL028996	ncRNA_gene	rRNA
AAEL028884	ncRNA_gene	rRNA
AAEL028858	ncRNA_gene	rRNA
AAEL020329	protein_coding_gene	protein_coding
AAEL012926	protein_coding_gene	protein_coding
AAEL012924	protein_coding_gene	protein_coding
AAEL012925	protein_coding_gene	protein_coding
AAEL013462	protein_coding_gene	protein_coding
AAEL021081	ncRNA_gene	lncRNA
AAEL027966	ncRNA_gene	lncRNA
AAEL013461	protein_coding_gene	protein_coding
AAEL027201	ncRNA_gene	lncRNA
AAEL028648	ncRNA_gene	tRNA
AAEL013458	protein_coding_gene	protein_coding
AAEL013460	protein_coding_gene	protein_coding
AAEL013463	protein_coding_gene	protein_coding
AAEL009911	protein_coding_gene	protein_coding
AAEL009912	protein_coding_gene	protein_coding
AAEL023347	protein_coding_gene	protein_coding
AAEL020387	protein_coding_gene	protein_coding
AAEL020396	ncRNA_gene	lncRNA
AAEL009918	protein_coding_gene	protein_coding
AAEL009913	protein_coding_gene	protein_coding
AAEL016733	ncRNA_gene	tRNA
AAEL009908	protein_coding_gene	protein_coding
AAEL016732	ncRNA_gene	tRNA
AAEL016731	ncRNA_gene	tRNA
AAEL016730	ncRNA_gene	tRNA
AAEL009915	protein_coding_gene	protein_coding
AAEL009916	protein_coding_gene	protein_coding
AAEL016729	ncRNA_gene	tRNA
AAEL009899	protein_coding_gene	protein_coding
AAEL017702	ncRNA_gene	snRNA
AAEL016728	ncRNA_gene	tRNA
AAEL016727	ncRNA_gene	tRNA
AAEL016726	ncRNA_gene	tRNA
AAEL019534	protein_coding_gene	protein_coding
AAEL018773	ncRNA_gene	pre_miRNA
AAEL018772	ncRNA_gene	pre_miRNA
AAEL018187	protein_coding_gene	protein_coding
AAEL019439	protein_coding_gene	protein_coding
AAEL019438	protein_coding_gene	protein_coding
AAEL025069	ncRNA_gene	lncRNA
AAEL009904	protein_coding_gene	protein_coding
AAEL009906	protein_coding_gene	protein_coding
AAEL020472	protein_coding_gene	protein_coding
AAEL009898	protein_coding_gene	protein_coding
AAEL009914	protein_coding_gene	protein_coding
AAEL025119	ncRNA_gene	lncRNA
AAEL009909	protein_coding_gene	protein_coding
AAEL028094	protein_coding_gene	protein_coding
AAEL002999	protein_coding_gene	protein_coding
AAEL003018	protein_coding_gene	protein_coding
AAEL021117	ncRNA_gene	lncRNA
AAEL028229	protein_coding_gene	protein_coding
AAEL002996	protein_coding_gene	protein_coding
AAEL003000	protein_coding_gene	protein_coding
AAEL028976	ncRNA_gene	tRNA
AAEL028943	ncRNA_gene	tRNA
AAEL018843	ncRNA_gene	tRNA
AAEL016280	ncRNA_gene	tRNA
AAEL016279	ncRNA_gene	tRNA
AAEL016277	ncRNA_gene	tRNA
AAEL016276	ncRNA_gene	tRNA
AAEL016275	ncRNA_gene	tRNA
AAEL003012	protein_coding_gene	protein_coding
AAEL003002	protein_coding_gene	protein_coding
AAEL016274	ncRNA_gene	tRNA
AAEL020634	protein_coding_gene	protein_coding
AAEL016273	ncRNA_gene	tRNA
AAEL018844	ncRNA_gene	tRNA
AAEL015609	protein_coding_gene	protein_coding
AAEL023182	protein_coding_gene	protein_coding
AAEL026455	protein_coding_gene	protein_coding
AAEL024703	ncRNA_gene	lncRNA
AAEL026183	protein_coding_gene	protein_coding
AAEL002989	protein_coding_gene	protein_coding
AAEL016271	ncRNA_gene	tRNA
AAEL003004	protein_coding_gene	protein_coding
AAEL021617	protein_coding_gene	protein_coding
AAEL026789	protein_coding_gene	protein_coding
AAEL027953	protein_coding_gene	protein_coding
AAEL022145	protein_coding_gene	protein_coding
AAEL002993	protein_coding_gene	protein_coding
AAEL003016	protein_coding_gene	protein_coding
AAEL003008	protein_coding_gene	protein_coding
AAEL028049	protein_coding_gene	protein_coding
AAEL012038	protein_coding_gene	protein_coding
AAEL012040	protein_coding_gene	protein_coding
AAEL012037	protein_coding_gene	protein_coding
AAEL012036	protein_coding_gene	protein_coding
AAEL012041	protein_coding_gene	protein_coding
AAEL012039	protein_coding_gene	protein_coding
AAEL024707	ncRNA_gene	lncRNA
AAEL009722	protein_coding_gene	protein_coding
AAEL020362	protein_coding_gene	protein_coding
AAEL009719	protein_coding_gene	protein_coding
AAEL009720	protein_coding_gene	protein_coding
AAEL021238	ncRNA_gene	lncRNA
AAEL009724	protein_coding_gene	protein_coding
AAEL009725	protein_coding_gene	protein_coding
AAEL009727	protein_coding_gene	protein_coding
AAEL023391	protein_coding_gene	protein_coding
AAEL000982	protein_coding_gene	protein_coding
AAEL016982	protein_coding_gene	protein_coding
AAEL026867	protein_coding_gene	protein_coding
AAEL001005	protein_coding_gene	protein_coding
AAEL025040	ncRNA_gene	lncRNA
AAEL018816	ncRNA_gene	tRNA
AAEL020286	ncRNA_gene	lncRNA
AAEL001009	protein_coding_gene	protein_coding
AAEL000983	protein_coding_gene	protein_coding
AAEL021520	protein_coding_gene	protein_coding
AAEL023811	protein_coding_gene	protein_coding
AAEL025088	ncRNA_gene	lncRNA
AAEL027252	protein_coding_gene	protein_coding
AAEL024440	protein_coding_gene	protein_coding
AAEL026992	protein_coding_gene	protein_coding
AAEL028186	protein_coding_gene	protein_coding
AAEL000997	protein_coding_gene	protein_coding
AAEL025290	protein_coding_gene	protein_coding
AAEL000980	protein_coding_gene	protein_coding
AAEL021007	ncRNA_gene	lncRNA
AAEL025533	protein_coding_gene	protein_coding
AAEL021176	protein_coding_gene	protein_coding
AAEL019505	protein_coding_gene	protein_coding
AAEL019506	protein_coding_gene	protein_coding
AAEL020934	protein_coding_gene	protein_coding
AAEL026287	protein_coding_gene	protein_coding
AAEL007078	protein_coding_gene	protein_coding
AAEL024897	ncRNA_gene	lncRNA
AAEL021980	ncRNA_gene	lncRNA
AAEL022194	protein_coding_gene	protein_coding
AAEL021734	protein_coding_gene	protein_coding
AAEL026589	protein_coding_gene	protein_coding
AAEL014763	protein_coding_gene	protein_coding
AAEL014761	protein_coding_gene	protein_coding
AAEL016931	ncRNA_gene	tRNA
AAEL014762	protein_coding_gene	protein_coding
AAEL025131	ncRNA_gene	lncRNA
AAEL028873	ncRNA_gene	lncRNA
AAEL028915	ncRNA_gene	lncRNA
AAEL020431	protein_coding_gene	protein_coding
AAEL020628	ncRNA_gene	lncRNA
AAEL014408	protein_coding_gene	protein_coding
AAEL012437	protein_coding_gene	protein_coding
AAEL012447	protein_coding_gene	protein_coding
AAEL024953	protein_coding_gene	protein_coding
AAEL021288	protein_coding_gene	protein_coding
AAEL012443	protein_coding_gene	protein_coding
AAEL012438	protein_coding_gene	protein_coding
AAEL012439	protein_coding_gene	protein_coding
AAEL012440	protein_coding_gene	protein_coding
AAEL024070	protein_coding_gene	protein_coding
AAEL012448	protein_coding_gene	protein_coding
AAEL012442	protein_coding_gene	protein_coding
AAEL012446	protein_coding_gene	protein_coding
AAEL027262	protein_coding_gene	protein_coding
AAEL014946	protein_coding_gene	protein_coding
AAEL014945	protein_coding_gene	protein_coding
AAEL022490	protein_coding_gene	protein_coding
AAEL024602	protein_coding_gene	protein_coding
AAEL015048	protein_coding_gene	protein_coding
AAEL009579	protein_coding_gene	protein_coding
AAEL009584	protein_coding_gene	protein_coding
AAEL023148	protein_coding_gene	protein_coding
AAEL022911	ncRNA_gene	lncRNA
AAEL021905	pseudogene	pseudogene
AAEL025602	protein_coding_gene	protein_coding
AAEL026027	protein_coding_gene	protein_coding
AAEL003100	protein_coding_gene	protein_coding
AAEL003107	protein_coding_gene	protein_coding
AAEL003109	protein_coding_gene	protein_coding
AAEL020196	protein_coding_gene	protein_coding
AAEL021950	protein_coding_gene	protein_coding
AAEL011261	protein_coding_gene	protein_coding
AAEL023091	protein_coding_gene	protein_coding
